Name,Chembl Id,Smiles,Nps,Antioxidant,Anti Inflammatory,Mitochondrial,Aggregation,Cognitive,Neurogenesis,Synaptic,Bbb,Source,Compound Type,Alzheimers,Parkinsons,Als,Huntingtons
PAROXETINE,CHEMBL6067650,Cl.Cl.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1.O,68.0,32.9,73.0,64.0,58.0,78.0,58.0,70.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
SERTINDOLE,CHEMBL12713,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,68.3,23.71,72.0,65.0,58.0,78.0,60.0,71.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
PERPHENAZINE,CHEMBL567,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,67.7,32.19,70.0,66.0,52.0,81.0,59.0,77.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
OXAZEPAM,CHEMBL1743322,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O,67.3,23.49,71.0,68.0,53.0,79.0,61.0,66.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
LORMETAZEPAM,CHEMBL22097,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,66.0,29.69,69.0,65.0,53.0,76.0,60.0,65.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
ZIDOVUDINE,CHEMBL26318,Cc1cn([C@H]2C[C@@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,67.4,37.62,71.0,63.0,62.0,78.0,56.0,68.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
TRIMIPRAMINE,CHEMBL1200948,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O,66.4,31.74,70.0,64.0,56.0,79.0,57.0,69.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
MAPROTILINE,CHEMBL21731,CNCCCC12CCC(c3ccccc31)c1ccccc12,67.1,33.86,69.0,64.0,58.0,80.0,59.0,70.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
LAMOTRIGINE,CHEMBL741,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,67.4,23.71,69.0,65.0,52.0,82.0,60.0,70.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
TADALAFIL,CHEMBL779,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,67.9,38.34,72.0,67.0,53.0,78.0,60.0,72.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
PIPAMPERONE,CHEMBL440294,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,65.4,48.57,69.0,65.0,52.0,79.0,56.0,70.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
FLUSPIRILENE,CHEMBL46516,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,67.1,28.67,71.0,66.0,60.0,78.0,55.0,70.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
GABAPENTIN,CHEMBL940,NCC1(CC(=O)O)CCCCC1,65.4,30.29,69.0,64.0,55.0,78.0,56.0,68.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
TIAPRIDE,CHEMBL84158,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,68.0,34.68,75.0,63.0,58.0,79.0,56.0,71.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
OXCARBAZEPINE,CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,66.4,21.29,71.0,64.0,54.0,77.0,60.0,64.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
MOCLOBEMIDE,CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,66.1,21.29,71.0,61.0,58.0,78.0,55.0,70.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
ZOPICLONE,CHEMBL135400,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,67.0,24.59,72.0,64.0,53.0,81.0,59.0,70.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
ROFLUMILAST,CHEMBL193240,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,67.9,38.3,74.0,63.0,54.0,80.0,58.0,74.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
TOPIRAMATE,CHEMBL220492,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,65.7,61.0,67.0,66.0,55.0,78.0,57.0,65.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
PALIPERIDONE,CHEMBL2107360,CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,69.3,51.99,71.0,61.0,62.0,80.0,62.0,76.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
FLUPHENAZINE ENANTHATE,CHEMBL1200951,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,68.7,30.68,73.0,64.0,55.0,79.0,59.0,77.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
VENLAFAXINE HYDROCHLORIDE,CHEMBL1201066,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,66.6,44.54,70.0,62.0,58.0,80.0,57.0,71.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
MEGESTROL ACETATE,CHEMBL1201139,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,66.9,31.49,69.0,65.0,62.0,79.0,57.0,68.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
NICERGOLINE,CHEMBL1372950,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,67.1,31.46,73.0,65.0,55.0,78.0,60.0,66.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
MELPERONE,CHEMBL1531134,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,67.4,50.29,71.0,66.0,57.0,79.0,57.0,70.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
