name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier,sample_weight,nps
TOPIRAMATE,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,67.0,66.0,55.0,78.0,57.0,65.0,gold_ml_predicted,0.9,66.9
PALIPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,71.0,61.0,62.0,80.0,62.0,76.0,gold_ml_predicted,0.9,69.7
FLUPHENAZINE ENANTHATE,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,73.0,64.0,55.0,79.0,59.0,77.0,gold_ml_predicted,0.9,69.5
VENLAFAXINE HYDROCHLORIDE,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,68.0,70.0,62.0,58.0,80.0,57.0,71.0,gold_ml_predicted,0.9,67.3
MEGESTROL ACETATE,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,68.0,69.0,65.0,62.0,79.0,57.0,68.0,gold_ml_predicted,0.9,67.7
NICERGOLINE,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,73.0,65.0,55.0,78.0,60.0,66.0,gold_ml_predicted,0.9,68.6
MELPERONE,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,71.0,66.0,57.0,79.0,57.0,70.0,gold_ml_predicted,0.9,68.6
Diosmetin,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,Low-Med,flavone,curated_smiles,1,0,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Tangeretin,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,Medium,flavone,curated_smiles,1,0,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Acacetin,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,Medium,flavone,curated_smiles,1,0,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Hispidulin,COc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1OC,Medium,flavone,curated_smiles,1,0,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Eupatorin,COc1cc(-c2cc(=O)c3c(OC)cc(O)cc3o2)ccc1O,Medium,flavone,curated_smiles,1,0,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Cirsiliol,COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1OC,Medium,flavone,curated_smiles,1,0,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Morin,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,Low,flavonol,curated_smiles,1,0,0,0,55.0,50.0,40.0,40.0,45.0,30.0,30.0,gold_curated,0.85,44.6
Azaleatin,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,Low,flavonol,curated_smiles,1,0,0,0,55.0,50.0,40.0,40.0,45.0,30.0,30.0,gold_curated,0.85,44.6
Quercitrin,O=c1c(OC2OC(C)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Low,flavonol,curated_smiles,1,0,0,0,55.0,50.0,40.0,40.0,45.0,30.0,30.0,gold_curated,0.85,44.6
Spiraeoside,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Low,flavonol,curated_smiles,1,0,0,0,55.0,50.0,40.0,40.0,45.0,30.0,30.0,gold_curated,0.85,44.6
Epigallocatechin,Oc1cc2c(cc1O)OC(c1cc(O)c(O)c(O)c1)CC2O,Low,flavan3ol,curated_smiles,1,1,0,0,60.0,55.0,45.0,50.0,50.0,35.0,35.0,gold_curated,0.85,50.4
Epicatechin gallate,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,Low,flavan3ol,curated_smiles,1,0,0,0,60.0,55.0,45.0,50.0,50.0,35.0,35.0,gold_curated,0.85,50.4
Gallocatechin,OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1,Low,flavan3ol,curated_smiles,1,0,0,0,60.0,55.0,45.0,50.0,50.0,35.0,35.0,gold_curated,0.85,50.4
Pinocembrin,O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,Medium,flavanone,curated_smiles,1,1,0,0,40.0,45.0,30.0,25.0,30.0,20.0,20.0,gold_curated,0.85,33.2
Liquiritigenin,O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,Medium,flavanone,curated_smiles,1,0,0,0,40.0,45.0,30.0,25.0,30.0,20.0,20.0,gold_curated,0.85,33.2
Formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,Medium,isoflavone,curated_smiles,1,0,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Biochanin A,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,Medium,isoflavone,curated_smiles,1,0,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Puerarin,OCC1OC(c2c(O)cc3c(=O)c(-c4ccc(O)cc4)coc3c2)C(O)C(O)C1O,Low,isoflavone,curated_smiles,1,1,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Calycosin,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1O,Low-Med,isoflavone,curated_smiles,1,0,0,0,45.0,50.0,35.0,30.0,35.0,25.0,25.0,gold_curated,0.85,38.2
Malvidin,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,Low-Med,anthocyanidin,curated_smiles,1,1,0,0,65.0,55.0,40.0,45.0,40.0,30.0,30.0,gold_curated,0.85,47.9
Pelargonidin,Oc1cc2cc(O)cc(O)c2[o+]c1-c1ccc(O)cc1,Low-Med,anthocyanidin,curated_smiles,1,0,0,0,65.0,55.0,40.0,45.0,40.0,30.0,30.0,gold_curated,0.85,47.9
Peonidin,COc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1O,Low-Med,anthocyanidin,curated_smiles,1,0,0,0,65.0,55.0,40.0,45.0,40.0,30.0,30.0,gold_curated,0.85,47.9
Petunidin,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(O)c1O,Low,anthocyanidin,curated_smiles,1,0,0,0,65.0,55.0,40.0,45.0,40.0,30.0,30.0,gold_curated,0.85,47.9
Piceatannol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1O,Low-Med,stilbene,curated_smiles,1,1,0,0,65.0,60.0,50.0,55.0,55.0,45.0,40.0,gold_curated,0.85,55.7
Rhapontigenin,COc1ccc(/C=C/c2cc(O)cc(O)c2)cc1O,Medium,stilbene,curated_smiles,1,0,0,0,65.0,60.0,50.0,55.0,55.0,45.0,40.0,gold_curated,0.85,55.7
Bisdemethoxycurcumin,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1,Medium,curcuminoid,curated_smiles,1,1,0,0,75.0,70.0,55.0,65.0,65.0,50.0,50.0,gold_curated,0.85,64.6
Demethoxycurcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O,Medium,curcuminoid,curated_smiles,1,0,0,0,75.0,70.0,55.0,65.0,65.0,50.0,50.0,gold_curated,0.85,64.6
Tetrahydrocurcumin,COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,Low-Med,curcuminoid,curated_smiles,1,1,0,0,75.0,70.0,55.0,65.0,65.0,50.0,50.0,gold_curated,0.85,64.6
Coptisine,c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,Medium,alkaloid,curated_smiles,1,0,0,0,35.0,40.0,35.0,30.0,45.0,30.0,30.0,gold_curated,0.85,36.1
Palmatine,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],Medium,alkaloid,curated_smiles,1,0,0,0,35.0,40.0,35.0,30.0,45.0,30.0,30.0,gold_curated,0.85,36.1
Sanguinarine,CN1Cc2c(ccc3c2OCO3)-c2ccc3cc4c(cc3c21)OCO4,Medium,alkaloid,curated_smiles,1,0,0,0,35.0,40.0,35.0,30.0,45.0,30.0,30.0,gold_curated,0.85,36.1
Magnoflorine,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)C)cc1O,Medium,alkaloid,curated_smiles,1,0,0,0,35.0,40.0,35.0,30.0,45.0,30.0,30.0,gold_curated,0.85,36.1
Tetrandrine,COc1ccc(CC2c3cc(OC)c(OC)cc3CCC[N+]2(C)Cc2ccc(OC)c(OC)c2)cc1O,Low,alkaloid,curated_smiles,1,0,0,1,35.0,40.0,35.0,30.0,45.0,30.0,30.0,gold_curated,0.85,36.1
Tryptamine,NCCc1c[nH]c2ccccc12,Medium,alkaloid,curated_smiles,0,1,0,0,35.0,40.0,35.0,30.0,45.0,30.0,30.0,gold_curated,0.85,36.1
Oleanolic acid,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](OS(=O)(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,Medium,triterpenoid,curated_smiles,1,0,0,0,40.0,55.0,40.0,35.0,35.0,25.0,25.0,gold_curated,0.85,39.6
Betulinic acid,CC(=C)C1CCC2(CC1)C(CCC1(CCC3(C)C(CC1)C3(C)C)C2(C)C(=O)O),Low-Med,triterpenoid,curated_smiles,1,0,0,1,40.0,55.0,40.0,35.0,35.0,25.0,25.0,gold_curated,0.85,39.6
Ginkgolide B,CC(C)(O)C12OC(=O)C1(C1CCCC(OC3OC(=O)C4C5CC(=O)OC5C(C4=O)C(=O)O3)C1)O2,Low,terpenoid,curated_smiles,1,1,0,0,40.0,45.0,38.0,32.0,38.0,28.0,28.0,gold_curated,0.85,37.6
Andrographolide,CC(=CO)[C@H]1CC[C@]2(CO)[C@@H](CC=C(C)[C@H]1[C@@H]2O)C(=C)C=O,Medium,diterpenoid,curated_smiles,1,0,1,0,45.0,50.0,40.0,30.0,40.0,30.0,30.0,gold_curated,0.85,40.4
Tanshinone IIA,CC1(C)CC2=CC(=O)c3cccc4c3C2(C1)C(=O)CC4=O,Medium,diterpenoid,curated_smiles,1,1,0,0,45.0,50.0,40.0,30.0,40.0,30.0,30.0,gold_curated,0.85,40.4
Cryptotanshinone,CC(C)C1CCC2(CC1=O)c1cccc3c1C2CC(=O)O3,Medium,diterpenoid,curated_smiles,1,1,0,0,45.0,50.0,40.0,30.0,40.0,30.0,30.0,gold_curated,0.85,40.4
Carnosol,CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O,Medium,diterpenoid,curated_smiles,0,1,0,0,45.0,50.0,40.0,30.0,40.0,30.0,30.0,gold_curated,0.85,40.4
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,Low-Med,polyphenol,curated_smiles,1,0,1,0,50.0,45.0,35.0,35.0,35.0,25.0,25.0,gold_curated,0.85,38.9
Protocatechuic acid,OC(=O)c1ccc(O)c(O)c1,Medium,polyphenol,curated_smiles,0,1,0,0,50.0,45.0,35.0,35.0,35.0,25.0,25.0,gold_curated,0.85,38.9
Magnolol,C=CCc1ccc(O)cc1-c1ccc(O)cc1CC=C,Low-Med,polyphenol,curated_smiles,1,0,0,0,50.0,45.0,35.0,35.0,35.0,25.0,25.0,gold_curated,0.85,38.9
Syringic acid,COc1cc(C(=O)O)cc(OC)c1O,Medium,polyphenol,curated_smiles,1,0,0,0,50.0,45.0,35.0,35.0,35.0,25.0,25.0,gold_curated,0.85,38.9
Vanillic acid,COc1cc(C(=O)O)ccc1O,Medium,polyphenol,curated_smiles,1,0,0,0,50.0,45.0,35.0,35.0,35.0,25.0,25.0,gold_curated,0.85,38.9
p-Coumaric acid,OC(=O)/C=C/c1ccc(O)cc1,Medium,polyphenol,curated_smiles,0,1,0,0,50.0,45.0,35.0,35.0,35.0,25.0,25.0,gold_curated,0.85,38.9
Sinapic acid,COc1cc(/C=C/C(=O)O)cc(OC)c1O,Medium,polyphenol,curated_smiles,1,0,0,0,50.0,45.0,35.0,35.0,35.0,25.0,25.0,gold_curated,0.85,38.9
Pterocarpus,COc1cc2c(cc1OC)CC(Oc1cc(OC)c(OC)cc1C2)c1cc(OC)c(OC)cc1,Low-Med,polyphenol,curated_smiles,1,0,0,0,50.0,45.0,35.0,35.0,35.0,25.0,25.0,gold_curated,0.85,38.9
Ginsenoside Rb1,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1CC[C@@H]1[C@@]2(C)CCC2(C)CC(OC3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)CC12,Low,ginsenoside,curated_smiles,1,1,0,0,50.0,55.0,45.0,50.0,60.0,55.0,50.0,gold_curated,0.85,52.1
Ginsenoside Rg1,CC(C)=CCC[C@@](C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1CC[C@@H]1[C@@]2(C)CCC2(C)CC(OC3OC(CO)C(O)C(O)C3O)CC12,Low,ginsenoside,curated_smiles,1,1,0,0,50.0,55.0,45.0,50.0,60.0,55.0,50.0,gold_curated,0.85,52.1
Ginsenoside Re,CC(C)=CCC[C@@](C)(O)C1CCC2(C)C1CC[C@@H]1[C@@]2(C)CCC2(C)CC(OC3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)CC12,Low,ginsenoside,curated_smiles,1,0,0,0,50.0,55.0,45.0,50.0,60.0,55.0,50.0,gold_curated,0.85,52.1
Ginsenoside Rd,CC(C)=CCCC(C)(O)C1CCC2(C)C1CC[C@@H]1[C@@]2(C)CCC2(C)CC(OC3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)CC12,Low,ginsenoside,curated_smiles,1,1,0,0,50.0,55.0,45.0,50.0,60.0,55.0,50.0,gold_curated,0.85,52.1
Alpha-tocopherol,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Low-Med,vitamin,curated_smiles,1,1,1,0,35.0,30.0,40.0,20.0,35.0,35.0,25.0,gold_curated,0.85,31.8
Vitamin D3,CC(C)CCCC(C)C1CCC2C1CCC1=CC(O)CCC12C,Low-Med,vitamin_d,curated_smiles,1,1,0,0,35.0,30.0,40.0,20.0,35.0,35.0,25.0,gold_curated,0.85,31.8
Calcitriol,CC(C)CCCC(C)C1CCC2C1CCC1=CC(O)CCC12,Low-Med,vitamin_d,curated_smiles,1,1,0,0,35.0,30.0,40.0,20.0,35.0,35.0,25.0,gold_curated,0.85,31.8
Vitamin K2,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/C)C)C)C)C)C)C)CCC1=C(C)C(=O)c2ccccc2C1=O,Low,vitamin,curated_smiles,1,0,0,0,35.0,30.0,40.0,20.0,35.0,35.0,25.0,gold_curated,0.85,31.8
DHA,CCCCC=CCC=CCC=CCC=CCC=CCC=CCCCCC(=O)O,Low-Med,omega3,curated_smiles,1,0,1,0,40.0,60.0,40.0,35.0,50.0,55.0,50.0,gold_curated,0.85,46.8
EPA,CCCCC=CCC=CCC=CCC=CCC=CCCCCC(=O)O,Low-Med,omega3,curated_smiles,1,1,0,0,40.0,60.0,40.0,35.0,50.0,55.0,50.0,gold_curated,0.85,46.8
Zinc gluconate,OCC(O)C(O)C(O)C(O)C(=O)[O-].[Zn+2],Low,mineral,curated_smiles,1,0,1,0,30.0,35.0,40.0,20.0,30.0,28.0,22.0,gold_curated,0.85,30.4
Selenium methionine,CSCC[C@H](N)C(=O)O,Medium,mineral,curated_smiles,1,1,0,0,30.0,35.0,40.0,20.0,30.0,28.0,22.0,gold_curated,0.85,30.4
Lithium carbonate,[Li+].[Li+].[O-]C([O-])=O,Low-Med,mineral,curated_smiles,1,0,0,1,30.0,35.0,40.0,20.0,30.0,28.0,22.0,gold_curated,0.85,30.4
Amantadine,NC12CC3CC(CC(C3)C1)C2,High,drug_pd,curated_smiles,0,1,0,0,30.0,30.0,30.0,25.0,30.0,22.0,22.0,gold_curated,0.85,28.1
Lithium,[Li+],Low-Med,mineral,curated_smiles,1,0,0,1,30.0,35.0,40.0,20.0,30.0,28.0,22.0,gold_curated,0.85,30.4
MPTP,CN1CCC(Cc2ccccc2)CC1,High,neurotoxin,curated_smiles,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,gold_curated,0.85,3.0
Rotenone,COc1ccc2c(c1OC)[C@@H]1CC(=C)C(=O)O[C@@H]1[C@H](CC2)c1ccc2c(c1)OCO2,Low-Med,neurotoxin,curated_smiles,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,gold_curated,0.85,3.0
6-Hydroxydopamine,Nc1cc(O)c(O)cc1CCO,Low-Med,neurotoxin,curated_smiles,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,gold_curated,0.85,3.0
Paraquat,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,High,neurotoxin,curated_smiles,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,gold_curated,0.85,4.0
Acrylamide,NC(=O)C=C,Low-Med,neurotoxin,curated_smiles,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,gold_curated,0.85,4.0
Methylmercury,[Hg]C,Medium,neurotoxin,curated_smiles,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,gold_curated,0.85,2.0
Lead acetate,CC(=O)[O-].CC(=O)[O-].[Pb+2],Low-Med,neurotoxin,curated_smiles,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,gold_curated,0.85,2.0
Acrolein,C=CC=O,Medium,neurotoxin,curated_smiles,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,gold_curated,0.85,3.0
Doxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,Low,neurotoxin,curated_smiles,0,0,0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,gold_curated,0.85,7.0
Cisplatin,N[Pt](N)(Cl)Cl,Medium,neurotoxin,curated_smiles,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,gold_curated,0.85,5.0
Mannitol,OCC(O)C(O)C(O)C(O)CO,Low,inactive_control,curated_smiles,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,gold_curated,0.85,5.0
Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,Low,inactive_control,curated_smiles,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,gold_curated,0.85,5.0
Propylene glycol,CC(O)CO,Low-Med,inactive_control,curated_smiles,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,gold_curated,0.85,5.0
